Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Australia,Included / International,Price / International,Compare At Price / International,Status
14ct-gold-ring-with-a-glass-imitation-diamond,14CT GOLD RING WITH A GLASS IMITATION DIAMOND.,"<p data-mce-fragment=""1""><br></p>
<table width=""400"" data-mce-fragment=""1"">
<tbody data-mce-fragment=""1"">
<tr data-mce-fragment=""1"">
<td data-mce-fragment=""1"">
<p data-mce-fragment=""1"">HALL MARKED &amp; XRF TESTED</p>
</td>
<td data-mce-fragment=""1"">
<p data-mce-fragment=""1"">14CT</p>
</td>
</tr>
<tr data-mce-fragment=""1"">
<td data-mce-fragment=""1"">
<p data-mce-fragment=""1"">TOTAL WEIGHT</p>
</td>
<td data-mce-fragment=""1"">
<p data-mce-fragment=""1"">3.3 grams</p>
</td>
</tr>
<tr data-mce-fragment=""1"">
<td data-mce-fragment=""1"">
<p data-mce-fragment=""1"">CONDITION</p>
</td>
<td data-mce-fragment=""1"">
<p data-mce-fragment=""1"">GOOD</p>
</td>
</tr>
<tr data-mce-fragment=""1"">
<td data-mce-fragment=""1"">
<p data-mce-fragment=""1"">RING SIZE</p>
</td>
<td data-mce-fragment=""1"">
<p data-mce-fragment=""1"">K SEE IMAGES</p>
</td>
</tr>
</tbody>
</table>
<p data-mce-fragment=""1"">Exceptional value at : $195.00</p>
<p data-mce-fragment=""1"">Item number: 26099-1</p>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">Be confident in your purchase with our money back guarantee.</strong></p>
<p data-mce-fragment=""1"">If for any reason you are not happy with the item, you can return it for a full refund within 5 days. The item must be in the same condition it was in it left our store. </p>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">PLEASE NOTE: </strong>This item is <strong data-mce-fragment=""1"">NOT</strong> located in our showroom. Please contact us to pre- arrange a viewing.</p>
<p data-mce-fragment=""1"">Do you have any questions? Please find our frequently asked questions here <u data-mce-fragment=""1""><a href=""https://oncelovedtreasures.com.au/pages/faq"" data-mce-fragment=""1"" data-mce-href=""https://oncelovedtreasures.com.au/pages/faq"">https://oncelovedtreasures.com.au/pages/faq</a></u></p>",Once Loved Treasures,Apparel & Accessories > Jewelry,Rings,"14ct Gold, Engagement Ring, Imitation diamond, On sale, Under $200, Under $500, Wedding Ring",TRUE,Title,Default Title,,,,,,0,shopify,1,deny,manual,195,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0608/1498/3409/products/26099-1.jpg?v=1675980159,1,,FALSE,,,,,,,,,,,,,,,,,kg,,,TRUE,TRUE,,,active
14ct-gold-ring-with-a-glass-imitation-diamond,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0608/1498/3409/products/26099-1_g.jpg?v=1675980159,2,,,,,,,,,,,,,,,,,,,,,,,,,,
14ct-gold-ring-with-a-glass-imitation-diamond,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0608/1498/3409/products/26099-1_f.jpg?v=1675980159,3,,,,,,,,,,,,,,,,,,,,,,,,,,
14ct-gold-ring-with-a-glass-imitation-diamond,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0608/1498/3409/products/26099-1_c.jpg?v=1675980160,4,,,,,,,,,,,,,,,,,,,,,,,,,,
14ct-gold-ring-with-a-glass-imitation-diamond,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0608/1498/3409/products/26099-1_b.jpg?v=1675980160,5,,,,,,,,,,,,,,,,,,,,,,,,,,
14ct-gold-ring-with-a-glass-imitation-diamond,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0608/1498/3409/products/26099-1_e.jpg?v=1675980160,6,,,,,,,,,,,,,,,,,,,,,,,,,,
14ct-gold-ring-with-a-glass-imitation-diamond,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0608/1498/3409/products/26099-1_d.jpg?v=1675980160,7,,,,,,,,,,,,,,,,,,,,,,,,,,
18ct-gold-and-diamond-ring-2,18CT GOLD AND DIAMOND RING,"<p data-mce-fragment=""1""><br></p>
<table width=""400"" data-mce-fragment=""1"">
<tbody data-mce-fragment=""1"">
<tr data-mce-fragment=""1"">
<td data-mce-fragment=""1"">
<p data-mce-fragment=""1"">HALL MARKED &amp; XRF TESTED</p>
</td>
<td data-mce-fragment=""1"">
<p data-mce-fragment=""1"">18CT</p>
</td>
</tr>
<tr data-mce-fragment=""1"">
<td data-mce-fragment=""1"">
<p data-mce-fragment=""1"">TOTAL WEIGHT</p>
</td>
<td data-mce-fragment=""1"">
<p data-mce-fragment=""1"">3.8 grams</p>
</td>
</tr>
<tr data-mce-fragment=""1"">
<td data-mce-fragment=""1"">
<p data-mce-fragment=""1"">CONDITION</p>
</td>
<td data-mce-fragment=""1"">
<p data-mce-fragment=""1"">EXCELLENT</p>
</td>
</tr>
<tr data-mce-fragment=""1"">
<td data-mce-fragment=""1"">
<p data-mce-fragment=""1"">RING SIZE</p>
</td>
<td data-mce-fragment=""1"">
<p data-mce-fragment=""1"">M SEE IMAGES</p>
</td>
</tr>
</tbody>
</table>
<p data-mce-fragment=""1"">Main diamond is approximately 5mm in diameter</p>
<p data-mce-fragment=""1"">There is no valuation for this ring, however one can be obtained for an additional price of $195.00</p>
<p data-mce-fragment=""1"">Exceptional value at : $995.00</p>
<p data-mce-fragment=""1"">Item number: 21838</p>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">Be confident in your purchase with our money back guarantee.</strong></p>
<p data-mce-fragment=""1"">If for any reason you are not happy with the item, you can return it for a full refund within 5 days. The item must be in the same condition it was in it left our store. </p>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">PLEASE NOTE: </strong>This item is <strong data-mce-fragment=""1"">NOT</strong> located in our showroom. Please contact us to pre- arrange a viewing.</p>
<p data-mce-fragment=""1"">Do you have any questions? Please find our frequently asked questions here <u data-mce-fragment=""1""><a href=""https://oncelovedtreasures.com.au/pages/faq"" data-mce-fragment=""1"" data-mce-href=""https://oncelovedtreasures.com.au/pages/faq"">https://oncelovedtreasures.com.au/pages/faq</a></u></p>",Once Loved Treasures,,Rings,"18ct, 18ct diamond ring, 18ct gold, 18ct gold diamond, 18ct gold diamond ring, Diamond, diamond rings, diamonds, Engagement Ring, solid 18ct gold, Wedding Ring",TRUE,Title,Default Title,,,,,,0,shopify,1,deny,manual,995,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0608/1498/3409/products/2.jpg?v=1675979296,1,,FALSE,,,,,,,,,,,,,,,,,kg,,,TRUE,TRUE,,,active
18ct-gold-and-diamond-ring-2,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0608/1498/3409/products/2_h.jpg?v=1675979296,2,,,,,,,,,,,,,,,,,,,,,,,,,,
18ct-gold-and-diamond-ring-2,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0608/1498/3409/products/2_d.jpg?v=1675979296,3,,,,,,,,,,,,,,,,,,,,,,,,,,
18ct-gold-and-diamond-ring-2,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0608/1498/3409/products/2_c.jpg?v=1675979296,4,,,,,,,,,,,,,,,,,,,,,,,,,,
18ct-gold-and-diamond-ring-2,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0608/1498/3409/products/2_f.jpg?v=1675979297,5,,,,,,,,,,,,,,,,,,,,,,,,,,
18ct-gold-and-diamond-ring-2,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0608/1498/3409/products/2_e.jpg?v=1675979298,6,,,,,,,,,,,,,,,,,,,,,,,,,,
18ct-gold-and-diamond-ring-2,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0608/1498/3409/products/2_g.jpg?v=1675979298,7,,,,,,,,,,,,,,,,,,,,,,,,,,
18ct-gold-and-diamond-ring-2,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0608/1498/3409/products/2_b.jpg?v=1675979298,8,,,,,,,,,,,,,,,,,,,,,,,,,,
18ct-gold-and-morganite-ring,18ct GOLD AND MORGANITE RING,"<p> </p>
<table width=""400"">
<tbody>
<tr>
<td>
<p>HALL MARKED &amp; XRF TESTED</p>
</td>
<td>
<p>18CT</p>
</td>
</tr>
<tr>
<td>
<p>TOTAL WEIGHT</p>
</td>
<td>
<p>3.8 grams</p>
</td>
</tr>
<tr>
<td>
<p>CONDITION</p>
</td>
<td>
<p>EXCELLENT</p>
</td>
</tr>
<tr>
<td>
<p>RING SIZE</p>
</td>
<td>
<p>L SEE IMAGES</p>
</td>
</tr>
</tbody>
</table>
<p> </p>
<p><strong>Valuation Number: 01231222I</strong></p>
<p><u>Yellow Gold and Morganite Ring</u></p>
<p>One 18 carat yellow gold (stamped) cast production ladies ring, of foreign make, with one pear-shaped morganite set in a six-claw basket setting. Shank: tapered, squared profile. Polished finish. Weight: 3.03 grams; thickness of shank at base 1.5mm, width at base 1.5mm to 0.7mm at edge of setting.</p>
<p>Morganite: pear-shaped, estimated as approx 1.58ct, Colour: light pink orange</p>
<p>Valuation certificate at $1,860.00</p>
<p>Exceptional value at : $995.00</p>
<p>Item number: 26280</p>
<p><strong>Be confident in your purchase with our money back guarantee.</strong></p>
<p>If for any reason you are not happy with the item, you can return it for a full refund within 5 days. The item must be in the same condition it was in it left our store. </p>
<p><strong>PLEASE NOTE: </strong>This item is <strong>NOT</strong> located in our showroom. Please contact us to pre- arrange a viewing.</p>
<p>Do you have any questions? Please find our frequently asked questions here <u><a href=""https://oncelovedtreasures.com.au/pages/faq"">https://oncelovedtreasures.com.au/pages/faq</a></u></p>",Once Loved Treasures,,Rings,"Engagement Ring, Morganite, Wedding Ring",TRUE,Title,Default Title,,,,,,0,shopify,1,deny,manual,995,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0608/1498/3409/products/26280.jpg?v=1675919936,1,,FALSE,,,,,,,,,,,,,,,,,kg,,,TRUE,TRUE,,,active
18ct-gold-and-morganite-ring,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0608/1498/3409/products/26280.i.jpg?v=1675919938,2,,,,,,,,,,,,,,,,,,,,,,,,,,
18ct-gold-and-morganite-ring,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0608/1498/3409/products/26280.h.jpg?v=1675919938,3,,,,,,,,,,,,,,,,,,,,,,,,,,
18ct-gold-and-morganite-ring,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0608/1498/3409/products/26280.g.jpg?v=1675919938,4,,,,,,,,,,,,,,,,,,,,,,,,,,
18ct-gold-and-morganite-ring,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0608/1498/3409/products/26280.f.jpg?v=1675919938,5,,,,,,,,,,,,,,,,,,,,,,,,,,
18ct-gold-and-morganite-ring,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0608/1498/3409/products/26280.e.jpg?v=1675919938,6,,,,,,,,,,,,,,,,,,,,,,,,,,
18ct-gold-and-morganite-ring,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0608/1498/3409/products/26280.d.jpg?v=1675919938,7,,,,,,,,,,,,,,,,,,,,,,,,,,
18ct-gold-and-morganite-ring,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0608/1498/3409/products/26280.c.jpg?v=1675919938,8,,,,,,,,,,,,,,,,,,,,,,,,,,
18ct-gold-and-morganite-ring,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0608/1498/3409/products/26280.b.jpg?v=1675919939,9,,,,,,,,,,,,,,,,,,,,,,,,,,
yellow-gold-and-akoya-cultured-pearl-necklace,Yellow Gold and Akoya Cultured Pearl Necklace,"<p data-mce-fragment=""1""> </p>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">Valuation Number: 01231222K</strong></p>
<p data-mce-fragment=""1""><u data-mce-fragment=""1"">Yellow Gold and Akoya Cultured Pearl Necklace</u></p>
<p data-mce-fragment=""1"">One 18 carat yellow gold (stamped) machine production necklace consisting of five fine wavey wires each with varying numbers of off-round Akoya cultured pearls set along their length – fifty five pearls in total. Lobster clasp. Polished finish.</p>
<p data-mce-fragment=""1"">Weight: 12.3 grams; Length: 40.5cm (incl. clasp)</p>
<p data-mce-fragment=""1"">Pearls: off-round, Colour: light cream, Hue: silver to silver pink,</p>
<p data-mce-fragment=""1"">            Skins: slightly to medium blemished, Lustre: medium</p>
<p data-mce-fragment=""1"">            Sizes: - approx 3.5 – 3.6mm, Total: 30</p>
<p data-mce-fragment=""1"">                      - approx 4.7 – 4.8mm, Total: 20</p>
<p data-mce-fragment=""1"">                      - approx 5.8 – 5.9mm, Total: 5<u data-mce-fragment=""1""> </u></p>
<p data-mce-fragment=""1"">Valuation price: $1,760.00</p>
<p data-mce-fragment=""1"">Exceptional value at : $995.00 </p>
<p data-mce-fragment=""1"">Item number 25888-72</p>
<p data-mce-fragment=""1"">In order to keep the price low there is no valuation certificate for this item. However one can be arranged for an additional price. </p>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">Be confident in your purchase with our money back guarantee.</strong></p>
<p data-mce-fragment=""1"">If for any reason you are not happy with the item, you can return it for a full refund within 5 days.</p>
<p data-mce-fragment=""1"">Please note: The item must be in the same condition it was in it left our store. </p>
<p data-mce-fragment=""1"">This item is <strong data-mce-fragment=""1"">NOT</strong> located in our showroom. If you would like to view this before purchasing please feel free to contact us to pre- arrange a viewing.</p>
<p data-mce-fragment=""1"">Do you have any questions? Please find our frequently asked questions here <u data-mce-fragment=""1""><a data-mce-fragment=""1"" href=""https://oncelovedtreasures.com.au/pages/faq"" data-mce-href=""https://oncelovedtreasures.com.au/pages/faq"">https://oncelovedtreasures.com.au/pages/faq</a></u></p>",Once Loved Treasures,,Necklaces,"Pearl, pearl jewellery, pearls",TRUE,Title,Default Title,,,,,,0,shopify,1,deny,manual,995,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,kg,,,TRUE,TRUE,,,active
16ct-gold-and-diamond-ring,16CT GOLD AND DIAMOND RING,"<p data-mce-fragment=""1""><br></p>
<table width=""400"" data-mce-fragment=""1"">
<tbody data-mce-fragment=""1"">
<tr data-mce-fragment=""1"">
<td data-mce-fragment=""1"">
<p data-mce-fragment=""1"">HALL MARKED &amp; XRF TESTED</p>
</td>
<td data-mce-fragment=""1"">
<p data-mce-fragment=""1"">16CT</p>
</td>
</tr>
<tr data-mce-fragment=""1"">
<td data-mce-fragment=""1"">
<p data-mce-fragment=""1"">TOTAL WEIGHT</p>
</td>
<td data-mce-fragment=""1"">
<p data-mce-fragment=""1"">2.7 grams</p>
</td>
</tr>
<tr data-mce-fragment=""1"">
<td data-mce-fragment=""1"">
<p data-mce-fragment=""1"">CONDITION</p>
</td>
<td data-mce-fragment=""1"">
<p data-mce-fragment=""1"">EXCELLENT</p>
</td>
</tr>
<tr data-mce-fragment=""1"">
<td data-mce-fragment=""1"">
<p data-mce-fragment=""1"">RING SIZE</p>
</td>
<td data-mce-fragment=""1"">
<p data-mce-fragment=""1"">O SEE IMAGES</p>
</td>
</tr>
</tbody>
</table>
<p data-mce-fragment=""1"">Main diamond is approximately 4mm x 4mm and 2.5 deep.</p>
<p data-mce-fragment=""1"">The round diamonds are approximately 3mm in diameter.</p>
<p data-mce-fragment=""1"">Exceptional value at : $995.00</p>
<p data-mce-fragment=""1"">Item number: 26113-1</p>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">Be confident in your purchase with our money back guarantee.</strong></p>
<p data-mce-fragment=""1"">If for any reason you are not happy with the item, you can return it for a full refund within 5 days. The item must be in the same condition it was in it left our store. </p>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">PLEASE NOTE: </strong>This item is <strong data-mce-fragment=""1"">NOT</strong> located in our showroom. Please contact us to pre- arrange a viewing.</p>
<p data-mce-fragment=""1"">Do you have any questions? Please find our frequently asked questions here <u data-mce-fragment=""1""><a href=""https://oncelovedtreasures.com.au/pages/faq"" data-mce-fragment=""1"" data-mce-href=""https://oncelovedtreasures.com.au/pages/faq"">https://oncelovedtreasures.com.au/pages/faq</a></u></p>",Once Loved Treasures,,Rings,"18ct diamond ring, 18ct gold diamond ring, Diamond, diamond rings, diamonds, Engagement Ring, Wedding Ring",TRUE,Title,Default Title,,,,,,0,shopify,1,deny,manual,995,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0608/1498/3409/products/26113-1.jpg?v=1675892589,1,,FALSE,,,,,,,,,,,,,,,,,kg,,,TRUE,TRUE,,,active
16ct-gold-and-diamond-ring,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0608/1498/3409/products/26113-1.h.jpg?v=1675892590,2,,,,,,,,,,,,,,,,,,,,,,,,,,
16ct-gold-and-diamond-ring,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0608/1498/3409/products/26113-3.b.jpg?v=1675892590,3,,,,,,,,,,,,,,,,,,,,,,,,,,
16ct-gold-and-diamond-ring,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0608/1498/3409/products/26113-1.f.jpg?v=1675892590,4,,,,,,,,,,,,,,,,,,,,,,,,,,
16ct-gold-and-diamond-ring,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0608/1498/3409/products/26113-1.e.jpg?v=1675892590,5,,,,,,,,,,,,,,,,,,,,,,,,,,
16ct-gold-and-diamond-ring,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0608/1498/3409/products/26113-1.d.jpg?v=1675892591,6,,,,,,,,,,,,,,,,,,,,,,,,,,
16ct-gold-and-diamond-ring,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0608/1498/3409/products/26113-1.g.jpg?v=1675892591,7,,,,,,,,,,,,,,,,,,,,,,,,,,
